,DAY OF WEEK,,,,,,,,
HOUR,1,2,3,4,5,6,7,,AVERAGE of ALL DAYS
00,0.533823126,0.54434274,0.524686548,0.531638954,0.535690924,0.535337635,0.53403376,,0.534236226
01,0.499764559,0.501797727,0.485799006,0.483995883,0.485862859,0.488752023,0.493942612,,0.491488814
02,0.467898183,0.462999482,0.448258864,0.446552647,0.449048853,0.450178381,0.457929602,,0.454776138
03,0.439714456,0.434065786,0.420189334,0.418732171,0.419168624,0.422762128,0.431045008,,0.426603854
04,0.418202801,0.41340326,0.402351439,0.398798403,0.400544553,0.403043265,0.410538593,,0.406765502
05,0.409131088,0.410622928,0.399443658,0.396723122,0.398618051,0.401471089,0.403608048,,0.402855004
06,0.416714944,0.460040112,0.44949467,0.447231881,0.447733702,0.450217526,0.42296744,,0.441987114
07,0.446527081,0.537932276,0.526094242,0.526731885,0.525311913,0.528222983,0.463294673,,0.50752314
08,0.506094064,0.581331174,0.567499196,0.571418092,0.565870451,0.568085868,0.521347554,,0.554354939
09,0.574399204,0.613616042,0.59742271,0.604865423,0.600232217,0.605358597,0.592583363,,0.598322935
10,0.633765906,0.614632431,0.60265272,0.612374301,0.602382056,0.612725063,0.643461975,,0.617537937
11,0.656214493,0.587730202,0.580399565,0.589471712,0.579021562,0.588032961,0.655195821,,0.605376961
12,0.646855832,0.554972346,0.551366474,0.558232283,0.545907475,0.557864091,0.631364997,,0.578339179
13,0.623785935,0.535185603,0.530423561,0.534724734,0.524159012,0.533983683,0.608261303,,0.556047063
14,0.597151095,0.516585659,0.506523851,0.509518461,0.500683111,0.512107929,0.575496437,,0.531409377
15,0.577747247,0.501716591,0.487501166,0.491072239,0.485096762,0.502418773,0.556271704,,0.514827017
16,0.558428169,0.487718831,0.483296901,0.482588778,0.475362159,0.492061183,0.539812193,,0.50297271
17,0.541571199,0.489231745,0.478586144,0.477260644,0.47625772,0.487596657,0.528952007,,0.497277846
18,0.54484487,0.509194544,0.501061954,0.495564058,0.499804636,0.507072076,0.542699275,,0.514393452
19,0.58339884,0.57202483,0.565112749,0.557869578,0.559799239,0.56387577,0.586290988,,0.569793144
20,0.594184201,0.588347661,0.587270869,0.583226618,0.587231765,0.584293883,0.595552719,,0.588594087
21,0.59105923,0.607213119,0.594960425,0.586789472,0.59126463,0.588830299,0.589297549,,0.59276145
22,0.579458262,0.598176074,0.586499967,0.583161058,0.585768165,0.571034217,0.570860169,,0.582112739
23,0.571788837,0.583961762,0.571338199,0.572592345,0.572049236,0.559224666,0.556548098,,0.569633942
,,,,,,,,,